@relation 'Free-Converter.com-sensor_test_fe_double_20_sec_shuffle_v2-84495343-weka.filters.unsupervised.attribute.Remove-R2,4-8,13,15-16,18,20-21,23-29,31-35,37,39-40,42-44,46-47,50-51,54,58-64,66-67,69-72,74-93,96,100,103,105,107-108,110-114'

@attribute AX-MinRed numeric
@attribute AX-MinInc numeric
@attribute AX-SqMean numeric
@attribute AX-GeoMean numeric
@attribute AX-HaMean numeric
@attribute AX-QuaMean numeric
@attribute AX-StdDev numeric
@attribute AX-Kurtosis numeric
@attribute AX-InqRan numeric
@attribute AY-MinInc numeric
@attribute AY-HaMean numeric
@attribute AY-Kurtosis numeric
@attribute AY-InqRan numeric
@attribute AZ-MinInc numeric
@attribute AZ-Ranj numeric
@attribute AZ-GeoMean numeric
@attribute AZ-HaMean numeric
@attribute AZ-StdDev numeric
@attribute AZ-Variance numeric
@attribute AZ-Kurtosis numeric
@attribute AZ-Skewness numeric
@attribute AZ-InqRan numeric
@attribute GX-AritMean numeric
@attribute GX-HaMean numeric
@attribute GX-CoVar numeric
@attribute GY-Skewness numeric
@attribute GY-InqRan numeric
@attribute GZ-MaxRed numeric
@attribute GZ-MinInc numeric
@attribute GZ-MaxInc numeric
@attribute GZ-Max numeric
@attribute GZ-Ranj numeric
@attribute GZ-SqMean numeric
@attribute GZ-HaMean numeric
@attribute GZ-StdDev numeric
@attribute Mode {Araba,Yurume,Tramvay,Met-Mar,Hafif_Rayli,Oto-Mbus}

@data
0.000075,0.000265,0.002588,0.018318,-0.003227,0.050868,0.050877,8.226832,0.043858,0.000104,0.031724,19.603036,0.049028,0.000138,0.995513,0.023792,0.001103,0.06106,0.003728,11.560899,-0.215171,0.058382,-0.003597,0.061882,-15.791613,0.054469,0.096785,1.182541,0.000183,0.868318,0.845757,1.523382,0.011635,0.000711,0.107661,Araba
0.000003,0.000026,0.000895,0.011108,-0.013705,0.029911,0.029873,6.92018,0.026765,0.000015,-0.002364,10.592437,0.029126,0.000029,0.311713,0.011362,0.007618,0.030636,0.000939,6.647853,-0.5543,0.025833,0.001015,-0.004657,53.973533,0.07991,0.083607,0.240399,0.000021,0.19813,0.161978,0.297716,0.001082,-0.000436,0.032875,Oto-Mbus
0.000056,0.000028,0.000331,0.007018,0.002207,0.018205,0.018135,5.733792,0.017261,0.000073,0.034215,6.422384,0.032277,0.000118,0.141248,0.006059,0.004644,0.015086,0.000228,5.273322,0.130016,0.014887,0.000029,-0.01972,1071.466941,0.228072,0.044307,0.100026,0.000029,0.089352,0.082652,0.170885,0.000271,-0.003712,0.016448,Hafif_Rayli
0.000026,0.000013,0.000159,0.004625,0.005001,0.012616,0.012615,6.714703,0.010952,0.000008,0.001343,6.157373,0.015598,0,0.214909,0.007415,0.002195,0.020146,0.000406,6.496947,0.034212,0.016505,0.000556,-0.003314,27.790549,-1.25734,0.022732,0.164095,0.000005,0.161223,0.16272,0.301837,0.000369,-0.00609,0.019109,Hafif_Rayli
0,0.000006,0.00015,0.00451,0.000145,0.012258,0.012113,11.910881,0.010345,0.000013,0.019135,8.610164,0.013052,0,0.156192,0.003929,-0.006875,0.009725,0.000095,11.418924,0.101641,0.00917,-0.000251,-0.008902,-119.946855,0.265966,0.038258,0.166137,0.000019,0.212021,0.210434,0.369525,0.000166,-0.003964,0.012894,Met-Mar
0.000008,0.000008,0.000194,0.003459,0.000065,0.01394,0.013937,225.378203,0.008027,0,-0.000403,20.534939,0.004721,0.00004,0.108872,0.004681,-0.001535,0.010871,0.000118,5.861933,-0.033262,0.009589,-0.000331,-0.000666,-37.49066,-5.759908,0.011713,0.953449,0.000001,0.955143,0.599197,1.551104,0.001122,0.004807,0.033482,Met-Mar
0.000003,0.00002,0.000163,0.004672,-0.005559,0.012763,0.012766,7.651972,0.010869,0.000017,0.038424,6.41277,0.014678,0.00001,0.300151,0.007649,0.024301,0.020744,0.00043,7.808646,-0.076315,0.018111,0.00113,0.006662,14.173495,0.071404,0.022428,0.107794,0.000001,0.100427,0.120711,0.195285,0.000355,0.009043,0.018704,Hafif_Rayli
0.000005,0.000005,0.000167,0.006037,0.002638,0.012935,0.012938,5.209787,0.015632,0.000001,0.000694,4.196944,0.009898,0,0.197857,0.00952,-0.001163,0.019686,0.000388,4.530144,0.232756,0.024038,-0.000275,-0.020274,-62.856138,-0.122833,0.033858,0.067037,0.000001,0.070656,0.075887,0.127258,0.000156,-0.010186,0.012474,Met-Mar
0.000005,0.000013,0.000471,0.005892,0.013243,0.021696,0.0217,12.215827,0.013208,0.000018,-0.001926,18.126563,0.010408,0.000018,0.158432,0.00462,-0.001533,0.014515,0.000211,8.555605,0.512017,0.010608,0.00027,0.00015,147.30227,0.081833,0.060717,0.155677,0.000017,0.159176,0.125952,0.251669,0.000453,-0.005931,0.021296,Tramvay
0.000021,0.00001,0.000189,0.00578,0.004322,0.013753,0.013704,14.451768,0.01418,0.000042,0.004913,3.491541,0.025609,0.000001,0.168783,0.005138,0.001059,0.011185,0.000125,8.048639,0.306314,0.012836,0.000124,-0.006237,185.828614,0.10296,0.041826,0.312544,0.00002,0.313739,0.155437,0.472232,0.000178,0.006773,0.013339,Met-Mar
0.000002,0,0.000188,0.005929,0.005806,0.013714,0.013527,7.210402,0.014647,0,0.006185,3.949965,0.009919,0,0.157242,0.008069,-0.038456,0.017421,0.000303,4.164175,0.144657,0.020147,0.00159,-0.002302,6.520524,0.544247,0.026681,0.133334,0.000001,0.121393,0.064747,0.153624,0.000742,0.021011,0.020038,Met-Mar
0.000003,0.000001,0.000478,0.005969,0.009012,0.021867,0.021847,9.299089,0.013491,0.000019,0.007662,15.858933,0.01085,0.000009,0.429455,0.004484,-0.001498,0.016659,0.000278,75.655976,-2.887605,0.010434,0.002119,-0.008726,22.269862,0.75446,0.05711,0.164267,0.000009,0.179077,0.163373,0.309996,0.000486,0.000394,0.022045,Tramvay
0.00001,0.000171,0.001316,0.013819,-0.017414,0.036278,0.036287,34.674341,0.032197,0.000082,-0.024497,8.808339,0.031121,0.000049,1.400344,0.018178,0.052839,0.059859,0.003583,72.357877,-4.215405,0.041718,-0.002843,-0.171614,-15.091189,4.647056,0.047222,0.472684,0.00003,0.525211,0.315167,0.698343,0.008267,0.013573,0.090452,Oto-Mbus
0.000017,0.000002,0.000148,0.00312,-0.001018,0.012147,0.012148,45.325964,0.007096,0.000002,-0.01002,26.383458,0.004804,0.000028,0.117159,0.004711,-0.003184,0.010746,0.000115,6.64924,0.263997,0.009823,-0.000615,0.003253,-22.655984,0.153762,0.010793,1.478825,0.000036,1.459284,0.384949,1.863279,0.001631,0.01007,0.040364,Met-Mar
0.000018,0.000046,0.000283,0.007111,0.009786,0.016828,0.016815,4.578141,0.017089,0.000015,0.011362,7.202531,0.033911,0.000007,0.150856,0.005961,0.009649,0.015074,0.000227,6.658101,-0.449387,0.014985,0.000679,-0.011408,43.457702,0.756602,0.045484,0.101227,0.000042,0.097718,0.086856,0.18921,0.000251,-0.000073,0.015857,Hafif_Rayli
0.000752,0.00007,0.13733,0.172333,0.077441,0.370581,0.351949,4.175446,0.410535,0.000202,-0.009371,3.167018,0.679589,0.001294,3.58274,0.296992,-2.075553,0.554955,0.307975,3.120995,-0.09686,0.760108,0.067686,0.229978,28.892721,0.88492,1.604989,3.103047,0.000256,3.099392,1.60894,4.08103,0.364033,0.376551,0.600866,Yurume
0.000007,0.000009,0.000314,0.007018,-0.008205,0.017708,0.017676,5.711329,0.017437,0.000001,0.085285,5.925847,0.031867,0.000032,0.187143,0.005894,-0.002127,0.015061,0.000227,7.404451,0.239336,0.015416,0.000462,-0.013039,67.113628,0.404418,0.044221,0.10446,0.000013,0.07765,0.09285,0.165917,0.000255,0.038406,0.015965,Hafif_Rayli
