@relation 'Free-Converter.com-sensor_test_fe_double_60_sec_shuffle_v2-94975332-weka.filters.unsupervised.attribute.Remove-R1-2,4-5,7-8,10-11,13-16,18,20-35,37-44,46,48-69,71-76,78-92,96-100,103-105,107-114'

@attribute AX-MinInc numeric
@attribute AX-Max numeric
@attribute AX-SqMean numeric
@attribute AX-QuaMean numeric
@attribute AX-Kurtosis numeric
@attribute AX-InqRan numeric
@attribute AY-Kurtosis numeric
@attribute AZ-Ranj numeric
@attribute AZ-SqMean numeric
@attribute GX-Median numeric
@attribute GY-MinRed numeric
@attribute GY-Kurtosis numeric
@attribute GY-Skewness numeric
@attribute GY-InqRan numeric
@attribute GZ-Max numeric
@attribute GZ-Ranj numeric
@attribute GZ-HaMean numeric
@attribute Mode {Tramvay,Oto-Mbus,Met-Mar,Araba,Hafif_Rayli,Yurume}

@data
0.000004,0.096256,0.000151,0.012269,19.866231,0.009873,7.333604,0.211883,0.000094,0.000679,0,11.484332,-0.123456,0.036296,0.154502,0.442972,-0.006734,Met-Mar
0.000002,0.133971,0.000469,0.021658,11.672808,0.013406,15.285603,0.266047,0.000222,0.001439,0.000036,8.701552,0.341296,0.059553,0.152317,0.283081,-0.003325,Tramvay
0.00004,0.278873,0.001245,0.03529,11.231112,0.033007,6.766924,1.128565,0.002701,-0.000704,0.000013,26.95872,0.73195,0.048536,0.386045,0.763051,-0.112281,Oto-Mbus
0.000009,0.213963,0.000307,0.017533,20.76591,0.013281,9.608456,0.424122,0.000444,0.000695,0.000001,20.712994,0.584583,0.02255,0.150264,0.302724,-0.005747,Tramvay
0,0.139408,0.000201,0.014177,18.59335,0.014561,4.414502,0.280594,0.000133,0.000534,0.000008,14.205731,-0.382992,0.042491,0.263175,0.440071,-0.01337,Met-Mar
0.000001,0.139665,0.000455,0.021322,8.920969,0.013738,12.135063,0.429455,0.000252,0.000949,0.000008,10.300513,0.410655,0.06006,0.163373,0.309996,0.001056,Tramvay
0.000033,0.136641,0.000874,0.029567,5.91663,0.027722,11.480121,0.321459,0.000913,-0.000056,0.000027,7.808431,-0.181146,0.080373,0.186261,0.377665,0.000791,Oto-Mbus
0.000001,0.164962,0.000151,0.012291,81.638475,0.00775,10.093071,0.257653,0.000148,-0.000339,0.000003,116.762011,2.009612,0.010509,0.770241,1.440989,-0.001496,Met-Mar
0.000052,1.48993,0.144362,0.37995,3.963057,0.435509,3.549636,4.89142,0.300171,-0.345201,0.00028,3.994851,0.802049,1.580824,1.81613,4.71803,-0.160854,Yurume
0.000019,0.539973,0.004078,0.063861,22.107841,0.049764,18.84137,1.365546,0.007162,-0.000285,0.000135,21.874108,0.44737,0.115854,0.689698,1.419097,0.004229,Oto-Mbus
0.000001,0.231357,0.000146,0.012098,74.852737,0.007469,44.649659,0.163142,0.000123,-0.000326,0.000001,37.162608,0.468196,0.010653,0.522895,0.815023,0.009514,Met-Mar
0.000012,0.198963,0.000859,0.029303,7.126549,0.030055,12.668356,0.392827,0.000659,-0.000157,0.000014,5.972251,0.15125,0.123847,0.182498,0.358343,0.057201,Oto-Mbus
0.000005,0.130473,0.000183,0.013537,7.128097,0.015531,4.330501,0.211102,0.000406,-0.000291,0.000001,5.648626,-0.164669,0.033065,0.104847,0.19475,-0.17074,Met-Mar
0.000004,0.199506,0.000288,0.01698,15.456862,0.013317,10.761053,0.355215,0.000391,0.00053,0.000001,18.444444,-0.481428,0.021799,0.21887,0.4007,-0.623653,Tramvay
